c1,c2,stim
seed,man,seedman
pit,man,pitman
coal,man,coalman
poultry,man,poultryman
cattle,man,cattleman
line,man,lineman
news,man,newsman
select,man,selectman
dales,man,dalesman
toll,man,tollman
crafts,man,craftsman
rafts,man,raftsman
gag,man,gagman
bogey,man,bogeyman
police,man,policeman
law,man,lawman
guards,man,guardsman
bands,man,bandsman
strong,man,strongman
raft,man,raftman
coach,man,coachman
signal,man,signalman
country,man,countryman
lines,man,linesman
road,man,roadman
house,man,houseman
backwoods,man,backwoodsman
militia,man,militiaman
ledge,man,ledgeman
ice,man,iceman
church,man,churchman
service,man,serviceman
bush,man,bushman
cavalry,man,cavalryman
snow,man,snowman
milk,man,milkman
handy,man,handyman
midship,man,midshipman
lens,man,lensman
points,man,pointsman
washer,man,washerman
underclass,man,underclassman
clans,man,clansman
bonds,man,bondsman
bond,man,bondman
gentle,man,gentleman
ferry,man,ferryman
land,man,landman
lock,man,lockman
rifle,man,rifleman
heads,man,headsman
door,man,doorman
plow,man,plowman
yachts,man,yachtsman
prop,man,propman
work,man,workman
chair,man,chairman
letter,man,letterman
sports,man,sportsman
freed,man,freedman
lighter,man,lighterman
infantry,man,infantryman
herds,man,herdsman
timber,man,timberman
lift,man,liftman
dust,man,dustman
wing,man,wingman
marks,man,marksman
lobster,man,lobsterman
committee,man,committeeman
lands,man,landsman
spokes,man,spokesman
warehouse,man,warehouseman
bat,man,batman
straw,man,strawman
jury,man,juryman
watch,man,watchman
newspaper,man,newspaperman
seeds,man,seedsman
free,man,freeman
drafts,man,draftsman
rounds,man,roundsman
draughts,man,draughtsman
iron,man,ironman
harvest,man,harvestman
cave,man,caveman
train,man,trainman
patrol,man,patrolman
pig,man,pigman
fire,man,fireman
fisher,man,fisherman
beggar,man,beggarman
liege,man,liegeman
money,man,moneyman
excise,man,exciseman
steel,man,steelman
water,man,waterman
clergy,man,clergyman
council,man,councilman
sheep,man,sheepman
alder,man,alderman
hang,man,hangman
laundry,man,laundryman
mail,man,mailman
states,man,statesman
quarry,man,quarryman
crags,man,cragsman
link,man,linkman
husband,man,husbandman
outdoors,man,outdoorsman
bus,man,busman
assembly,man,assemblyman
tax,man,taxman
fresh,man,freshman
plants,man,plantsman
bow,man,bowman
hunts,man,huntsman
wire,man,wireman
widow,man,widowman
beads,man,beadsman
head,man,headman
chap,man,chapman
chess,man,chessman
repair,man,repairman
noble,man,nobleman
pantry,man,pantryman
cracks,man,cracksman
meat,man,meatman
dairy,man,dairyman
cab,man,cabman
sand,man,sandman
lumber,man,lumberman
garbage,man,garbageman
mad,man,madman
place,man,placeman
anchor,man,anchorman
switch,man,switchman
air,man,airman
space,man,spaceman
sound,man,soundman
crew,man,crewman
middle,man,middleman
swords,man,swordsman
posse,man,posseman
gun,man,gunman
pen,man,penman
links,man,linksman
baggage,man,baggageman
business,man,businessman
pitch,man,pitchman
plains,man,plainsman
barge,man,bargeman
oars,man,oarsman
wolf,man,wolfman
woods,man,woodsman
post,man,postman
oil,man,oilman
frog,man,frogman
taxi,man,taximan
book,man,bookman
bell,man,bellman
hod,man,hodman
pack,man,packman
malt,man,maltman
press,man,pressman
aircrew,man,aircrewman
camera,man,cameraman
privateers,man,privateersman
livery,man,liveryman
desk,man,deskman
fields,man,fieldsman
trencher,man,trencherman
kins,man,kinsman
stable,man,stableman
helms,man,helmsman
earth,man,earthman
pot,man,potman
delivery,man,deliveryman
longbow,man,longbowman
congress,man,congressman
boat,man,boatman
merchant,man,merchantman
stock,man,stockman
foot,man,footman
highway,man,highwayman
artillery,man,artilleryman
bar,man,barman
frontiers,man,frontiersman
vestry,man,vestryman
charge,man,chargeman
gas,man,gasman
lay,man,layman
foe,man,foeman
hotel,man,hotelman
show,man,showman
steers,man,steersman
swag,man,swagman
school,man,schoolman
motor,man,motorman
mat,man,matman
hit,man,hitman
yard,man,yardman
working,man,workingman
nursery,man,nurseryman
trades,man,tradesman
weather,man,weatherman
longshore,man,longshoreman
journey,man,journeyman
sandwich,man,sandwichman
trigger,man,triggerman
sea,man,seaman
railway,man,railwayman
shaggy,mane,shaggymane
over,mantel,overmantel
bit,map,bitmap
bit,maps,bitmaps
route,march,routemarch
brood,mare,broodmare
night,mare,nightmare
brood,mares,broodmares
night,mares,nightmares
bench,mark,benchmark
trade,mark,trademark
hash,mark,hashmark
pock,mark,pockmark
birth,mark,birthmark
post,mark,postmark
foot,mark,footmark
book,mark,bookmark
tide,mark,tidemark
finger,mark,fingermark
mint,mark,mintmark
water,mark,watermark
press,mark,pressmark
land,mark,landmark
ear,mark,earmark
hall,mark,hallmark
style,mark,stylemark
book,marker,bookmarker
green,market,greenmarket
hyper,markets,hypermarkets
birth,marks,birthmarks
foot,marks,footmarks
hall,marks,hallmarks
ear,marks,earmarks
pock,marks,pockmarks
book,marks,bookmarks
land,marks,landmarks
tide,marks,tidemarks
water,marks,watermarks
trade,marks,trademarks
post,marks,postmarks
finger,marks,fingermarks
bench,marks,benchmarks
foul,mart,foulmart
gas,mask,gasmask
stone,mason,stonemason
free,masonry,freemasonry
stone,masons,stonemasons
land,mass,landmass
ground,mass,groundmass
land,masses,landmasses
top,mast,topmast
main,mast,mainmast
mizzen,mast,mizzenmast
fore,mast,foremast
mizen,mast,mizenmast
jigger,mast,jiggermast
pay,master,paymaster
choir,master,choirmaster
station,master,stationmaster
whore,master,whoremaster
task,master,taskmaster
quarter,master,quartermaster
spy,master,spymaster
toast,master,toastmaster
school,master,schoolmaster
scout,master,scoutmaster
house,master,housemaster
grand,master,grandmaster
web,master,webmaster
lock,master,lockmaster
quiz,master,quizmaster
post,master,postmaster
band,master,bandmaster
head,master,headmaster
ring,master,ringmaster
yard,master,yardmaster
train,master,trainmaster
house,masters,housemasters
task,masters,taskmasters
head,masters,headmasters
quarter,masters,quartermasters
yard,masters,yardmasters
school,masters,schoolmasters
band,masters,bandmasters
post,masters,postmasters
ring,masters,ringmasters
station,masters,stationmasters
toast,masters,toastmasters
scout,masters,scoutmasters
pay,masters,paymasters
choir,masters,choirmasters
head,mastership,headmastership
main,masts,mainmasts
top,masts,topmasts
mizzen,masts,mizzenmasts
door,mat,doormat
room,mate,roommate
school,mate,schoolmate
check,mate,checkmate
camp,mate,campmate
house,mate,housemate
mess,mate,messmate
class,mate,classmate
bunk,mate,bunkmate
ship,mate,shipmate
stable,mate,stablemate
stale,mate,stalemate
work,mate,workmate
table,mate,tablemate
team,mate,teammate
flat,mate,flatmate
play,mate,playmate
help,mate,helpmate
team,mates,teammates
bunk,mates,bunkmates
check,mates,checkmates
school,mates,schoolmates
ship,mates,shipmates
stable,mates,stablemates
room,mates,roommates
stale,mates,stalemates
class,mates,classmates
help,mates,helpmates
mess,mates,messmates
play,mates,playmates
work,mates,workmates
flat,mates,flatmates
after,math,aftermath
after,maths,aftermaths
door,mats,doormats
water,meal,watermeal
corn,meal,cornmeal
oat,meal,oatmeal
bone,meal,bonemeal
horse,meat,horsemeat
sweet,meat,sweetmeat
force,meat,forcemeat
mince,meat,mincemeat
crab,meat,crabmeat
sweet,meats,sweetmeats
para,medic,paramedic
help,meet,helpmeet
musk,melon,muskmelon
water,melon,watermelon
water,melons,watermelons
musk,melons,muskmelons
jacks,melt,jacksmelt
clergy,men,clergymen
tax,men,taxmen
fisher,men,fishermen
frontiers,men,frontiersmen
lines,men,linesmen
freed,men,freedmen
bar,men,barmen
longshore,men,longshoremen
cow,men,cowmen
patrol,men,patrolmen
bow,men,bowmen
bell,men,bellmen
bat,men,batmen
guards,men,guardsmen
fire,men,firemen
cave,men,cavemen
alder,men,aldermen
gentle,men,gentlemen
heads,men,headsmen
underclass,men,underclassmen
news,men,newsmen
bands,men,bandsmen
artillery,men,artillerymen
bond,men,bondmen
chair,men,chairmen
congress,men,congressmen
watch,men,watchmen
drafts,men,draftsmen
mad,men,madmen
pitch,men,pitchmen
tribes,men,tribesmen
towns,men,townsmen
herds,men,herdsmen
crafts,men,craftsmen
hunts,men,huntsmen
aircraft,men,aircraftmen
gas,men,gasmen
foot,men,footmen
swords,men,swordsmen
fresh,men,freshmen
free,men,freemen
kins,men,kinsmen
strong,men,strongmen
plow,men,plowmen
journey,men,journeymen
stable,men,stablemen
show,men,showmen
chess,men,chessmen
militia,men,militiamen
grooms,men,groomsmen
link,men,linkmen
service,men,servicemen
wood,men,woodmen
air,men,airmen
snow,men,snowmen
husband,men,husbandmen
muscle,men,musclemen
ferry,men,ferrymen
bus,men,busmen
laundry,men,laundrymen
infantry,men,infantrymen
oars,men,oarsmen
clans,men,clansmen
handy,men,handymen
trencher,men,trenchermen
post,men,postmen
newspaper,men,newspapermen
states,men,statesmen
select,men,selectmen
grounds,men,groundsmen
delivery,men,deliverymen
jury,men,jurymen
spokes,men,spokesmen
helms,men,helmsmen
assembly,men,assemblymen
merchant,men,merchantmen
sales,men,salesmen
quarry,men,quarrymen
sea,men,seamen
lay,men,laymen
livery,men,liverymen
railway,men,railwaymen
lumber,men,lumbermen
committee,men,committeemen
cavalry,men,cavalrymen
church,men,churchmen
camera,men,cameramen
press,men,pressmen
plains,men,plainsmen
frog,men,frogmen
repair,men,repairmen
boat,men,boatmen
barge,men,bargemen
place,men,placemen
middle,men,middlemen
dust,men,dustmen
brake,men,brakemen
bonds,men,bondsmen
business,men,businessmen
gun,men,gunmen
oil,men,oilmen
line,men,linemen
bats,men,batsmen
bogey,men,bogeymen
nursery,men,nurserymen
council,men,councilmen
dairy,men,dairymen
yachts,men,yachtsmen
mail,men,mailmen
cattle,men,cattlemen
rifle,men,riflemen
steers,men,steersmen
milk,men,milkmen
work,men,workmen
train,men,trainmen
ice,men,icemen
weather,men,weathermen
vestry,men,vestrymen
signal,men,signalmen
backwoods,men,backwoodsmen
midship,men,midshipmen
motor,men,motormen
door,men,doormen
fields,men,fieldsmen
lands,men,landsmen
hang,men,hangmen
police,men,policemen
head,men,headmen
highway,men,highwaymen
country,men,countrymen
noble,men,noblemen
woods,men,woodsmen
crew,men,crewmen
coach,men,coachmen
yard,men,yardmen
bush,men,bushmen
letter,men,lettermen
trades,men,tradesmen
working,men,workingmen
law,men,lawmen
sports,men,sportsmen
sand,men,sandmen
pen,men,penmen
marks,men,marksmen
space,men,spacemen
horse,men,horsemen
house,men,housemen
anchor,men,anchormen
gun,metal,gunmetal
taxi,meter,taximeter
audio,meter,audiometer
flux,meter,fluxmeter
volt,meter,voltmeter
gauss,meter,gaussmeter
ohm,meter,ohmmeter
volt,meters,voltmeters
ohm,meters,ohmmeters
audio,meters,audiometers
photo,meters,photometers
taxi,meters,taximeters
field,mice,fieldmice
butter,milk,buttermilk
fore,milk,foremilk
soy,milk,soymilk
gin,mill,ginmill
lumber,mill,lumbermill
grist,mill,gristmill
wind,mill,windmill
saw,mill,sawmill
spice,mill,spicemill
tread,mill,treadmill
wind,mills,windmills
tread,mills,treadmills
grist,mills,gristmills
saw,mills,sawmills
master,mind,mastermind
feeble,mindedness,feeblemindedness
baby,minder,babyminder
net,minder,netminder
master,minds,masterminds
gold,mine,goldmine
gold,mines,goldmines
top,minnow,topminnow
apple,mint,applemint
pepper,mint,peppermint
cat,mint,catmint
spear,mint,spearmint
horse,mint,horsemint
pepper,mints,peppermints
head,mistress,headmistress
task,mistress,taskmistress
post,mistress,postmistress
school,mistress,schoolmistress
post,mistresses,postmistresses
school,mistresses,schoolmistresses
head,mistresses,headmistresses
task,mistresses,taskmistresses
book,mobile,bookmobile
snow,mobile,snowmobile
blood,mobile,bloodmobile
blood,mobiles,bloodmobiles
snow,mobiles,snowmobiles
book,mobiles,bookmobiles
hood,mold,hoodmold
super,mom,supermom
scare,monger,scaremonger
word,monger,wordmonger
fashion,monger,fashionmonger
iron,monger,ironmonger
war,monger,warmonger
whore,monger,whoremonger
rumour,monger,rumourmonger
cheese,monger,cheesemonger
rumor,monger,rumormonger
gossip,monger,gossipmonger
scandal,monger,scandalmonger
fish,monger,fishmonger
hate,monger,hatemonger
news,monger,newsmonger
gossip,mongering,gossipmongering
scandal,mongering,scandalmongering
war,mongering,warmongering
scare,mongers,scaremongers
war,mongers,warmongers
fish,mongers,fishmongers
hate,mongers,hatemongers
scandal,mongers,scandalmongers
rumor,mongers,rumormongers
iron,mongers,ironmongers
twelve,month,twelvemonth
twelve,months,twelvemonths
honey,moon,honeymoon
honey,moons,honeymoons
dust,mop,dustmop
roll,mops,rollmops
spike,moss,spikemoss
ditch,moss,ditchmoss
hawk,moth,hawkmoth
grand,mother,grandmother
step,mother,stepmother
house,mother,housemother
god,mother,godmother
house,mothers,housemothers
grand,mothers,grandmothers
god,mothers,godmothers
hood,mould,hoodmould
sea,mount,seamount
tit,mouse,titmouse
shrew,mouse,shrewmouse
field,mouse,fieldmouse
motor,mouth,motormouth
large,mouth,largemouth
loud,mouth,loudmouth
cotton,mouth,cottonmouth
frog,mouth,frogmouth
goal,mouth,goalmouth
small,mouth,smallmouth
blabber,mouth,blabbermouth
wry,mouth,wrymouth
blabber,mouths,blabbermouths
cotton,mouths,cottonmouths
motor,mouths,motormouths
goal,mouths,goalmouths
loud,mouths,loudmouths
hay,mow,haymow
hay,mows,haymows
over,much,overmuch
over,muchness,overmuchness
ear,muff,earmuff
ear,muffs,earmuffs
seas,nail,seasnail
hob,nail,hobnail
tree,nail,treenail
hang,nail,hangnail
thumb,nail,thumbnail
finger,nail,fingernail
door,nail,doornail
toe,nail,toenail
hob,nails,hobnails
finger,nails,fingernails
hang,nails,hangnails
thumb,nails,thumbnails
toe,nails,toenails
file,name,filename
fore,name,forename
nick,name,nickname
nick,names,nicknames
gingers,nap,gingersnap
cat,nap,catnap
whippers,napper,whippersnapper
kid,napper,kidnapper
whippers,nappers,whippersnappers
kid,nappers,kidnappers
kid,napping,kidnapping
cat,naps,catnaps
gingers,naps,gingersnaps
super,naturals,supernaturals
dread,naught,dreadnaught
goose,neck,gooseneck
little,neck,littleneck
leather,neck,leatherneck
bottle,neck,bottleneck
rough,neck,roughneck
fiddle,neck,fiddleneck
wry,neck,wryneck
swan,neck,swanneck
rubber,neck,rubberneck
red,neck,redneck
turtle,neck,turtleneck
crook,neck,crookneck
rubber,necker,rubbernecker
bottle,necks,bottlenecks
turtle,necks,turtlenecks
red,necks,rednecks
rough,necks,roughnecks
crook,necks,crooknecks
leather,necks,leathernecks
rubber,necks,rubbernecks
grand,nephew,grandnephew
grand,nephews,grandnephews
snowblind,ness,snowblindness
airsick,ness,airsickness
heartsick,ness,heartsickness
seasick,ness,seasickness
lovesick,ness,lovesickness
overmuch,ness,overmuchness
homesick,ness,homesickness
bird,nest,birdnest
bird,nesting,birdnesting
drag,net,dragnet
word,net,wordnet
fish,net,fishnet
ether,net,ethernet
hair,net,hairnet
hair,nets,hairnets
fish,nets,fishnets
drag,nets,dragnets
grand,niece,grandniece
grand,nieces,grandnieces
week,night,weeknight
mid,night,midnight
week,nights,weeknights
mid,nights,midnights
cat,nip,catnip
tins,nips,tinsnips
egg,nog,eggnog
after,noon,afternoon
after,noons,afternoons
hook,nose,hooknose
blue,nose,bluenose
bull,nose,bullnose
bladder,nose,bladdernose
bottle,nose,bottlenose
cone,nose,conenose
blue,noses,bluenoses
what,not,whatnot
key,note,keynote
foot,note,footnote
bank,note,banknote
bank,notes,banknotes
key,notes,keynotes
foot,notes,footnotes
dread,nought,dreadnought
wet,nurse,wetnurse
bitter,nut,bitternut
dough,nut,doughnut
thumb,nut,thumbnut
beech,nut,beechnut
earth,nut,earthnut
pig,nut,pignut
chest,nut,chestnut
butter,nut,butternut
cocoa,nut,cocoanut
lock,nut,locknut
mocker,nut,mockernut
coco,nut,coconut
candle,nut,candlenut
cob,nut,cobnut
hazel,nut,hazelnut
pea,nut,peanut
ground,nut,groundnut
cob,nuts,cobnuts
chest,nuts,chestnuts
ground,nuts,groundnuts
coco,nuts,coconuts
hazel,nuts,hazelnuts
butter,nuts,butternuts
beech,nuts,beechnuts
pea,nuts,peanuts
cut,off,cutoff
put,off,putoff
trade,off,tradeoff
play,off,playoff
run,off,runoff
take,off,takeoff
sell,off,selloff
lay,off,layoff
kick,off,kickoff
blast,off,blastoff
pay,off,payoff
set,off,setoff
turn,off,turnoff
lift,off,liftoff
stand,off,standoff
knock,off,knockoff
fall,off,falloff
hand,off,handoff
turn,offs,turnoffs
cut,offs,cutoffs
run,offs,runoffs
pay,offs,payoffs
stand,offs,standoffs
fall,offs,falloffs
play,offs,playoffs
tops,oil,topsoil
inners,ole,innersole
ins,ole,insole
ins,oles,insoles
inners,oles,innersoles
overt,one,overtone
merest,one,merestone
gravest,one,gravestone
some,one,someone
freest,one,freestone
bluest,one,bluestone
overt,ones,overtones
gravest,ones,gravestones
freest,ones,freestones
milks,ops,milksops
tablet,ops,tabletops
fibre,optics,fibreoptics
fiber,optics,fiberoptics
battled,ore,battledore
eyes,ore,eyesore
beds,ore,bedsore
battled,ores,battledores
beds,ores,bedsores
eyes,ores,eyesores
fluid,ounce,fluidounce
check,out,checkout
buy,out,buyout
cut,out,cutout
put,out,putout
wash,out,washout
take,out,takeout
hold,out,holdout
blow,out,blowout
fade,out,fadeout
lay,out,layout
break,out,breakout
walk,out,walkout
work,out,workout
turn,out,turnout
knock,out,knockout
close,out,closeout
black,out,blackout
strike,out,strikeout
fall,out,fallout
drop,out,dropout
print,out,printout
look,out,lookout
shoot,out,shootout
hide,out,hideout
cook,out,cookout
shake,out,shakeout
wipe,out,wipeout
shut,out,shutout
stake,out,stakeout
white,out,whiteout
hand,out,handout
hang,out,hangout
sell,out,sellout
fold,out,foldout
dug,out,dugout
lock,out,lockout
try,out,tryout
cop,out,copout
print,outs,printouts
try,outs,tryouts
break,outs,breakouts
fold,outs,foldouts
buy,outs,buyouts
cut,outs,cutouts
stake,outs,stakeouts
sell,outs,sellouts
black,outs,blackouts
strike,outs,strikeouts
walk,outs,walkouts
turn,outs,turnouts
hang,outs,hangouts
cook,outs,cookouts
check,outs,checkouts
hide,outs,hideouts
put,outs,putouts
hand,outs,handouts
blow,outs,blowouts
look,outs,lookouts
hold,outs,holdouts
shake,outs,shakeouts
change,over,changeover
lay,over,layover
make,over,makeover
slip,over,slipover
walk,over,walkover
cross,over,crossover
push,over,pushover
stop,over,stopover
pull,over,pullover
left,over,leftover
fly,over,flyover
pop,over,popover
roll,over,rollover
flash,over,flashover
sleep,over,sleepover
spill,over,spillover
hand,over,handover
hang,over,hangover
turn,over,turnover
hold,over,holdover
take,over,takeover
pull,overs,pullovers
make,overs,makeovers
turn,overs,turnovers
hang,overs,hangovers
walk,overs,walkovers
fly,overs,flyovers
cross,overs,crossovers
spill,overs,spillovers
stop,overs,stopovers
change,overs,changeovers
hand,overs,handovers
roll,overs,rollovers
pop,overs,popovers
hold,overs,holdovers
push,overs,pushovers
closed,own,closedown
land,owner,landowner
home,owner,homeowner
ship,owner,shipowner
share,owner,shareowner
home,owners,homeowners
ship,owners,shipowners
land,owners,landowners
backs,pace,backspace
crawls,pace,crawlspace
airs,pace,airspace
heads,pace,headspace
works,pace,workspace
backs,pacer,backspacer
backs,paces,backspaces
crawls,paces,crawlspaces
back,pack,backpack
six,pack,sixpack
back,packer,backpacker
back,packers,backpackers
meat,packing,meatpacking
back,packing,backpacking
back,packs,backpacks
key,pad,keypad
launch,pad,launchpad
ink,pad,inkpad
note,pad,notepad
shin,pad,shinpad
scratch,pad,scratchpad
foot,pad,footpad
mouse,pad,mousepad
key,pads,keypads
launch,pads,launchpads
note,pads,notepads
scratch,pads,scratchpads
web,page,webpage
home,page,homepage
home,pages,homepages
after,pains,afterpains
grease,paint,greasepaint
house,paint,housepaint
finger,paint,fingerpaint
bed,pan,bedpan
dust,pan,dustpan
hard,pan,hardpan
stew,pan,stewpan
dish,pan,dishpan
knee,pan,kneepan
brain,pan,brainpan
sauce,pan,saucepan
skid,pan,skidpan
wings,pan,wingspan
fry,pan,frypan
salt,pan,saltpan
window,pane,windowpane
window,panes,windowpanes
wings,pans,wingspans
dish,pans,dishpans
dust,pans,dustpans
bed,pans,bedpans
sauce,pans,saucepans
skid,pans,skidpans
sweat,pants,sweatpants
under,pants,underpants
note,paper,notepaper
wall,paper,wallpaper
news,paper,newspaper
sand,paper,sandpaper
oil,paper,oilpaper
fly,paper,flypaper
wall,paperer,wallpaperer
news,papering,newspapering
fly,papers,flypapers
sand,papers,sandpapers
wall,papers,wallpapers
news,papers,newspapers
grand,parent,grandparent
god,parent,godparent
grand,parents,grandparents
god,parents,godparents
ball,park,ballpark
ball,parks,ballparks
mouth,part,mouthpart
under,part,underpart
under,parts,underparts
grand,pas,grandpas
over,pass,overpass
under,pass,underpass
over,passes,overpasses
under,passes,underpasses
fly,past,flypast
tooth,paste,toothpaste
fish,paste,fishpaste
tooth,pastes,toothpastes
fly,pasts,flypasts
eye,patch,eyepatch
cross,patch,crosspatch
brier,patch,brierpatch
war,path,warpath
foot,path,footpath
tow,path,towpath
tow,paths,towpaths
foot,paths,footpaths
war,paths,warpaths
south,paw,southpaw
fore,paws,forepaws
south,paws,southpaws
tax,payer,taxpayer
rate,payer,ratepayer
rate,payers,ratepayers
tax,payers,taxpayers
over,payment,overpayment
under,payment,underpayment
under,payments,underpayments
chick,pea,chickpea
cow,pea,cowpea
sweet,pea,sweetpea
doctors,peak,doctorspeak
news,peak,newspeak
doubles,peak,doublespeak
chick,peas,chickpeas
sweet,peas,sweetpeas
wood,pecker,woodpecker
tee,pee,teepee
grounds,peed,groundspeed
airs,peed,airspeed
ball,pen,ballpen
bull,pen,bullpen
pig,pen,pigpen
play,pen,playpen
eight,pence,eightpence
four,pence,fourpence
two,pence,twopence
five,pence,fivepence
nine,pence,ninepence
ten,pence,tenpence
six,pence,sixpence
three,pence,threepence
half,penny,halfpenny
half,pennyworth,halfpennyworth
bull,pens,bullpens
pig,pens,pigpens
play,pens,playpens
anchor,people,anchorpeople
business,people,businesspeople
trades,people,tradespeople
lay,people,laypeople
spokes,people,spokespeople
sales,people,salespeople
towns,people,townspeople
doorstop,per,doorstopper
sharecrop,per,sharecropper
eavesdrop,per,eavesdropper
wiretap,per,wiretapper
kidnap,per,kidnapper
surf,perch,surfperch
under,performer,underperformer
anchor,person,anchorperson
drafts,person,draftsperson
chair,person,chairperson
lay,person,layperson
spokes,person,spokesperson
news,person,newsperson
business,person,businessperson
sales,person,salesperson
kins,person,kinsperson
chair,persons,chairpersons
salt,peter,saltpeter
zoo,phobia,zoophobia
cell,phone,cellphone
head,phone,headphone
ear,phone,earphone
speaker,phone,speakerphone
cell,phones,cellphones
head,phones,headphones
ear,phones,earphones
radio,photograph,radiophotograph
catch,phrase,catchphrase
catch,phrases,catchphrases
ice,pick,icepick
tooth,pick,toothpick
rag,picker,ragpicker
nit,picker,nitpicker
nit,pickers,nitpickers
tooth,picks,toothpicks
cow,pie,cowpie
pot,pie,potpie
pork,pie,porkpie
nose,piece,nosepiece
cheek,piece,cheekpiece
mantle,piece,mantlepiece
altar,piece,altarpiece
centre,piece,centrepiece
show,piece,showpiece
mantel,piece,mantelpiece
eye,piece,eyepiece
cod,piece,codpiece
time,piece,timepiece
mouth,piece,mouthpiece
hair,piece,hairpiece
tail,piece,tailpiece
center,piece,centerpiece
chimney,piece,chimneypiece
head,piece,headpiece
neck,piece,neckpiece
master,piece,masterpiece
work,piece,workpiece
ear,piece,earpiece
show,pieces,showpieces
master,pieces,masterpieces
altar,pieces,altarpieces
ear,pieces,earpieces
head,pieces,headpieces
eye,pieces,eyepieces
time,pieces,timepieces
tail,pieces,tailpieces
cross,pieces,crosspieces
work,pieces,workpieces
hair,pieces,hairpieces
mantel,pieces,mantelpieces
mouth,pieces,mouthpieces
cod,pieces,codpieces
pot,pies,potpies
mag,pies,magpies
stool,pigeon,stoolpigeon
hands,pike,handspike
marlins,pike,marlinspike
gar,pike,garpike
turn,pike,turnpike
turn,pikes,turnpikes
sand,pile,sandpile
wood,pile,woodpile
stock,pile,stockpile
stock,piles,stockpiles
wood,piles,woodpiles
stock,piling,stockpiling
overs,pill,overspill
overs,pills,overspills
ten,pin,tenpin
backs,pin,backspin
stick,pin,stickpin
candle,pin,candlepin
breast,pin,breastpin
lynch,pin,lynchpin
nine,pin,ninepin
duck,pin,duckpin
hat,pin,hatpin
hair,pin,hairpin
push,pin,pushpin
king,pin,kingpin
tie,pin,tiepin
scarf,pin,scarfpin
downs,pin,downspin
head,pin,headpin
tails,pin,tailspin
tops,pin,topspin
clothes,pin,clothespin
thole,pin,tholepin
blacktop,ping,blacktopping
overlap,ping,overlapping
horsewhip,ping,horsewhipping
kidnap,ping,kidnapping
kidnap,pings,kidnappings
outcrop,pings,outcroppings
head,pins,headpins
ten,pins,tenpins
hat,pins,hatpins
hair,pins,hairpins
candle,pins,candlepins
duck,pins,duckpins
stick,pins,stickpins
push,pins,pushpins
king,pins,kingpins
clothes,pins,clothespins
tie,pins,tiepins
tails,pins,tailspins
nine,pins,ninepins
cuckoo,pint,cuckoopint
blow,pipe,blowpipe
pan,pipe,panpipe
bag,pipe,bagpipe
hose,pipe,hosepipe
hawse,pipe,hawsepipe
tail,pipe,tailpipe
drain,pipe,drainpipe
wind,pipe,windpipe
stand,pipe,standpipe
stove,pipe,stovepipe
horn,pipe,hornpipe
bag,piper,bagpiper
sand,piper,sandpiper
sand,pipers,sandpipers
bag,pipers,bagpipers
bag,pipes,bagpipes
wind,pipes,windpipes
drain,pipes,drainpipes
blow,pipes,blowpipes
stove,pipes,stovepipes
hose,pipes,hosepipes
pan,pipes,panpipes
stand,pipes,standpipes
tail,pipes,tailpipes
horn,pipes,hornpipes
stove,piping,stovepiping
coal,pit,coalpit
turns,pit,turnspit
flea,pit,fleapit
cock,pit,cockpit
saw,pit,sawpit
chalk,pit,chalkpit
arm,pit,armpit
sand,pit,sandpit
arm,pits,armpits
flea,pits,fleapits
sand,pits,sandpits
cock,pits,cockpits
birth,place,birthplace
market,place,marketplace
farm,place,farmplace
common,place,commonplace
show,place,showplace
fire,place,fireplace
work,place,workplace
work,places,workplaces
common,places,commonplaces
show,places,showplaces
fire,places,fireplaces
market,places,marketplaces
birth,places,birthplaces
flood,plain,floodplain
flood,plains,floodplains
float,plane,floatplane
mid,plane,midplane
war,plane,warplane
tail,plane,tailplane
air,plane,airplane
sail,plane,sailplane
sea,plane,seaplane
sail,planes,sailplanes
sea,planes,seaplanes
air,planes,airplanes
war,planes,warplanes
sail,planing,sailplaning
gang,plank,gangplank
gang,planks,gangplanks
zoo,plankton,zooplankton
egg,plant,eggplant
lead,plant,leadplant
pie,plant,pieplant
house,plant,houseplant
house,plants,houseplants
egg,plants,eggplants
shin,plaster,shinplaster
breast,plate,breastplate
name,plate,nameplate
back,plate,backplate
end,plate,endplate
book,plate,bookplate
face,plate,faceplate
fish,plate,fishplate
copper,plate,copperplate
foot,plate,footplate
door,plate,doorplate
hot,plate,hotplate
bite,plate,biteplate
tin,plate,tinplate
boiler,plate,boilerplate
number,plate,numberplate
foot,plates,footplates
breast,plates,breastplates
name,plates,nameplates
book,plates,bookplates
hot,plates,hotplates
door,plates,doorplates
screen,play,screenplay
gun,play,gunplay
horse,play,horseplay
word,play,wordplay
sword,play,swordplay
ball,player,ballplayer
ball,players,ballplayers
role,playing,roleplaying
screen,plays,screenplays
lam,plight,lamplight
counter,plot,counterplot
snow,plough,snowplough
snow,ploughs,snowploughs
snow,plow,snowplow
snow,plows,snowplows
ear,plug,earplug
fire,plug,fireplug
drain,plug,drainplug
fire,plugs,fireplugs
ear,plugs,earplugs
sugar,plum,sugarplum
sugar,plums,sugarplums
over,plus,overplus
pick,pocket,pickpocket
pick,pockets,pickpockets
seed,pod,seedpod
monkey,pod,monkeypod
sickle,pod,sicklepod
fringe,pod,fringepod
bladder,pod,bladderpod
satin,pod,satinpod
seed,pods,seedpods
stand,point,standpoint
