c1,c2,stim
king,bird,kingbird
mocking,bird,mockingbird
humming,bird,hummingbird
night,bird,nightbird
shore,bird,shorebird
scrub,bird,scrubbird
lady,birds,ladybirds
black,birds,blackbirds
oven,birds,ovenbirds
lyre,birds,lyrebirds
love,birds,lovebirds
red,birds,redbirds
snow,birds,snowbirds
shore,birds,shorebirds
humming,birds,hummingbirds
song,birds,songbirds
jay,birds,jaybirds
cat,birds,catbirds
cow,birds,cowbirds
sea,birds,seabirds
mocking,birds,mockingbirds
jail,birds,jailbirds
whirly,birds,whirlybirds
water,birds,waterbirds
blue,birds,bluebirds
child,birth,childbirth
still,birth,stillbirth
after,birth,afterbirth
after,births,afterbirths
child,births,childbirths
still,births,stillbirths
frog,bit,frogbit
hen,bit,henbit
hawk,bit,hawkbit
snake,bite,snakebite
over,bite,overbite
frost,bite,frostbite
back,biter,backbiter
back,biters,backbiters
snake,bites,snakebites
over,bites,overbites
frost,bites,frostbites
rare,bits,rarebits
boot,black,bootblack
shoe,black,shoeblack
lamp,black,lampblack
boot,blacks,bootblacks
gall,bladder,gallbladder
gall,bladders,gallbladders
razor,blade,razorblade
switch,blade,switchblade
switch,blades,switchblades
roller,blading,rollerblading
sand,blast,sandblast
back,blast,backblast
plasma,blast,plasmablast
sand,blaster,sandblaster
sand,blasters,sandblasters
sand,blasts,sandblasts
trail,blazer,trailblazer
trail,blazers,trailblazers
nose,bleed,nosebleed
nose,bleeds,nosebleeds
loan,blend,loanblend
horn,blende,hornblende
eel,blenny,eelblenny
snake,blenny,snakeblenny
pike,blenny,pikeblenny
sun,blind,sunblind
snow,blindness,snowblindness
road,block,roadblock
breech,block,breechblock
cell,block,cellblock
sun,block,sunblock
sun,blocks,sunblocks
road,blocks,roadblocks
pure,blood,pureblood
life,blood,lifeblood
checker,bloom,checkerbloom
ink,blot,inkblot
ink,blots,inkblots
death,blow,deathblow
glass,blower,glassblower
whistle,blower,whistleblower
glass,blowers,glassblowers
death,blows,deathblows
lap,board,lapboard
paste,board,pasteboard
centre,board,centreboard
floor,board,floorboard
game,board,gameboard
ply,board,plyboard
plug,board,plugboard
shuffle,board,shuffleboard
cup,board,cupboard
patch,board,patchboard
paper,board,paperboard
gang,board,gangboard
score,board,scoreboard
spring,board,springboard
clap,board,clapboard
flash,board,flashboard
clapper,board,clapperboard
finger,board,fingerboard
side,board,sideboard
mop,board,mopboard
cheese,board,cheeseboard
bill,board,billboard
mold,board,moldboard
plaster,board,plasterboard
weather,board,weatherboard
buck,board,buckboard
sound,board,soundboard
punch,board,punchboard
chalk,board,chalkboard
tail,board,tailboard
match,board,matchboard
black,board,blackboard
straw,board,strawboard
fall,board,fallboard
mill,board,millboard
head,board,headboard
poster,board,posterboard
dart,board,dartboard
wake,board,wakeboard
cork,board,corkboard
key,board,keyboard
duck,board,duckboard
drain,board,drainboard
shovel,board,shovelboard
switch,board,switchboard
gar,board,garboard
snow,board,snowboard
splash,board,splashboard
skate,board,skateboard
chip,board,chipboard
hard,board,hardboard
dash,board,dashboard
sign,board,signboard
checker,board,checkerboard
mould,board,mouldboard
sea,board,seaboard
card,board,cardboard
back,board,backboard
bread,board,breadboard
star,board,starboard
wall,board,wallboard
surf,board,surfboard
clip,board,clipboard
foot,board,footboard
peg,board,pegboard
fibre,board,fibreboard
base,board,baseboard
fiber,board,fiberboard
teeter,board,teeterboard
work,board,workboard
center,board,centerboard
wash,board,washboard
chess,board,chessboard
mortar,board,mortarboard
dagger,board,daggerboard
high,board,highboard
snow,boarder,snowboarder
skate,boarder,skateboarder
surf,boarder,surfboarder
skate,boarders,skateboarders
snow,boarders,snowboarders
skate,boarding,skateboarding
surf,boarding,surfboarding
snow,boarding,snowboarding
flash,boarding,flashboarding
weather,boarding,weatherboarding
bread,boards,breadboards
buck,boards,buckboards
chess,boards,chessboards
peg,boards,pegboards
floor,boards,floorboards
switch,boards,switchboards
sound,boards,soundboards
checker,boards,checkerboards
clap,boards,clapboards
back,boards,backboards
black,boards,blackboards
clapper,boards,clapperboards
drain,boards,drainboards
cup,boards,cupboards
lap,boards,lapboards
wash,boards,washboards
cheese,boards,cheeseboards
sea,boards,seaboards
score,boards,scoreboards
tail,boards,tailboards
chalk,boards,chalkboards
head,boards,headboards
skate,boards,skateboards
mold,boards,moldboards
clip,boards,clipboards
sign,boards,signboards
shuffle,boards,shuffleboards
spring,boards,springboards
base,boards,baseboards
mortar,boards,mortarboards
bill,boards,billboards
dart,boards,dartboards
weather,boards,weatherboards
finger,boards,fingerboards
center,boards,centerboards
snow,boards,snowboards
key,boards,keyboards
surf,boards,surfboards
side,boards,sideboards
dash,boards,dashboards
bare,boat,bareboat
bum,boat,bumboat
mail,boat,mailboat
flat,boat,flatboat
ferry,boat,ferryboat
gun,boat,gunboat
show,boat,showboat
pig,boat,pigboat
speed,boat,speedboat
fire,boat,fireboat
keel,boat,keelboat
life,boat,lifeboat
cat,boat,catboat
whale,boat,whaleboat
motor,boat,motorboat
